怀左同学,我拿钱请你吃饭，你却只知道低头玩手机,http://www.jianshu.com/p/b100c4be2fe8
安梳颜,年轻人，只有读书才能逆袭？趁着年轻多读点书吧,http://www.jianshu.com/p/fba0802e764d
清悠1202,一个人的固执里，藏着低水平的认知,http://www.jianshu.com/p/a53869866cab
Jk不二子,你一定要努力，但千万别着急,http://www.jianshu.com/p/1a81f945bc41
追风筝的哈桑,一毕业就背三万多贷款，我要怎么谈诗和远方?,http://www.jianshu.com/p/52b4288e16e2
新世相,9年后，我还是没有跑出去 | 震后余生,http://www.jianshu.com/p/934090a0483f
骁哥能量站,学了这个技能，秒杀90%的人！,http://www.jianshu.com/p/6ca0b98076fd
怀左同学,我想和你谈一谈，写作一年后的自己,http://www.jianshu.com/p/201c822991b8
追风筝的哈桑,那些年，贴在一个二本学校学生身上的那些标签,http://www.jianshu.com/p/82748dcbe240
彭小六,有了框架思维，就再也不用担心碎片学习了,http://www.jianshu.com/p/7ec3d87ef343
衷曲无闻,迷茫的日子，你是怎样熬过来的？,http://www.jianshu.com/p/a996bc896931
阿阳驾到,弱国无外交   弱人无社交,http://www.jianshu.com/p/1cb7be72633e
安梳颜,如何做到高度自律？,http://www.jianshu.com/p/6d4e2d14234b
蒙娜丽傻,如何利用一个暑假内外兼修实现逆袭,http://www.jianshu.com/p/47f3824b1285
大千一墨,我终于决定去做了近视眼手术……,http://www.jianshu.com/p/62a5e5d67b71
少女陆sunny,一个女生从20岁到30岁这10年,http://www.jianshu.com/p/bc8c4b1d9595
安语嫣说职场,丛林猎杀,http://www.jianshu.com/p/58549cf27dfa
宗麟,【深度】不打印度，中国在害怕什么？,http://www.jianshu.com/p/dac3339f183d
未雨欲语,那个喜欢我的男孩，你能帮我拎一下包吗？,http://www.jianshu.com/p/e5b3a570ccb8
七荷的自由天堂,基层人员自述：我为什么不敢轻易辞职？,http://www.jianshu.com/p/6551cf7a140e
Graceland,地球上最好看的100部电影（上）,http://www.jianshu.com/p/87f2f8ed0a9a
怀左同学,越是寂寞，越要警惕爱情,http://www.jianshu.com/p/813568f9b23c
Q小喵,请给我们的国家和英雄多点信心！――致给《战狼2》打一星的人,http://www.jianshu.com/p/db7db68f4f25
奇奇漫悦读,别再迷恋亦舒了，那浓浓的拜金味让人作呕,http://www.jianshu.com/p/e49342cf9084
萌薇,还不会写读书笔记？怪不得你的书都白看了,http://www.jianshu.com/p/b346c377e2e6
青山应如黛,[简书交友]就是交友，没话说！男生女生都可以啊,http://www.jianshu.com/p/5540eac18d0b
与君成悦,1个月20万字，日更六七千，身怀六甲的我是怎样做到的,http://www.jianshu.com/p/d6155aa140bb
我是小P_93de,我在巴黎打工十年的真实经历,http://www.jianshu.com/p/caa801eaf375
槽值,一个人的三观，看朋友圈就知道了,http://www.jianshu.com/p/57e7c1980a15
沪江英语,《战狼2》上映13天、狂揽34亿！那么，吴京能分到多少钱？,http://www.jianshu.com/p/f88f70f7c269
